gender_male,height,weight,age,bmi,bsa,front_shoulder_width_px_ratio,front_chest_width_px_ratio,front_waist_width_px_ratio,front_hip_width_px_ratio,front_arm_length_px_ratio,front_torso_length_px_ratio,front_leg_length_px_ratio,side_chest_depth_px_ratio,side_waist_depth_px_ratio,side_hip_depth_px_ratio,side_thigh_depth_px_ratio,side_neck_depth_px_ratio,target_chest,target_waist,target_hip,target_shoulderWidth,target_neck,target_upperArm,target_armLength,target_wrist,target_thigh,target_inseam,target_outseam,target_torsoLength,target_height
1,177.3,85.4,21,27.18,2.051,0.27309,0.18855,0.18102,0.20455,0.34124,0.39294,0.63078,0.16026,0.11806,0.16736,0.0387,0.07374,103.5,86.4,102.1,47.7,45.0,25.7,59.6,18.9,22.4,81.3,110.2,68.7,177.3
1,161.2,62.6,69,24.09,1.673,0.25606,0.17131,0.18628,0.18568,0.32574,0.37509,0.60212,0.14561,0.12149,0.15192,0.03766,0.0688,87.5,82.8,86.3,41.7,39.1,25.5,53.0,16.7,20.3,72.3,97.9,61.0,161.2
1,162.6,64.9,33,24.56,1.712,0.26096,0.19177,0.17442,0.20783,0.33126,0.38145,0.61233,0.163,0.11375,0.17004,0.03829,0.07016,98.5,77.9,97.0,42.7,40.0,24.0,54.2,17.1,20.7,73.9,100.1,62.4,162.6
1,171.3,77.1,24,26.29,1.916,0.26461,0.18526,0.18669,0.20086,0.33263,0.38303,0.61486,0.15747,0.12175,0.16434,0.03958,0.07133,99.1,86.8,97.6,45.0,42.4,26.1,56.6,17.9,22.3,77.2,104.6,65.2,171.3
1,167.9,71.5,39,25.35,1.826,0.26203,0.18841,0.18278,0.20426,0.33095,0.38109,0.61175,0.16015,0.1192,0.16712,0.03929,0.07054,98.9,83.4,97.5,43.8,41.1,25.3,55.3,17.5,21.7,75.4,102.2,63.7,167.9
1,177.9,56.8,46,17.94,1.674,0.24774,0.17748,0.16774,0.19336,0.31941,0.36781,0.59043,0.15086,0.10939,0.1582,0.03557,0.06631,100.5,82.6,99.6,44.7,41.7,23.2,57.6,18.0,21.2,78.5,106.4,66.3,177.9
1,168.7,68.8,28,24.18,1.796,0.27289,0.19515,0.18765,0.21173,0.34583,0.39823,0.63927,0.16587,0.12238,0.17323,0.04136,0.0734,102.3,85.5,100.9,45.5,42.7,25.7,57.7,18.2,22.8,78.7,106.6,66.4,168.7
1,164.9,59.9,50,22.03,1.657,0.25263,0.18146,0.182,0.19703,0.32293,0.37185,0.59692,0.15424,0.11869,0.16121,0.03816,0.06778,93.3,81.3,92.1,41.3,38.7,24.5,52.8,16.6,20.6,72.0,97.6,60.8,164.9
1,186.5,89.4,46,25.69,2.152,0.26685,0.18739,0.20278,0.20371,0.33361,0.38416,0.61667,0.15928,0.13225,0.16667,0.04384,0.07204,109.5,103.0,108.2,49.6,46.8,29.7,62.0,19.7,27.0,84.6,114.7,71.5,186.5
1,173.8,118.3,56,39.17,2.39,0.27431,0.20753,0.22526,0.22386,0.33033,0.38039,0.61062,0.1764,0.14691,0.18316,0.05097,0.0748,114.1,107.7,111.8,48.0,45.7,34.0,57.8,18.7,29.5,78.8,106.8,66.5,173.8
1,176.0,81.9,29,26.45,2.001,0.26771,0.19532,0.18037,0.21192,0.33556,0.3864,0.62028,0.16602,0.11764,0.17339,0.04022,0.07222,108.7,87.3,107.2,47.4,44.6,25.9,59.4,18.8,23.6,81.0,109.8,68.4,176.0
1,164.8,64.9,24,23.88,1.723,0.26608,0.18201,0.18828,0.1974,0.33813,0.38937,0.62504,0.15471,0.12279,0.16151,0.03974,0.07151,94.5,85.0,93.2,44.0,41.3,25.9,55.9,17.6,21.7,76.2,103.3,64.4,164.8
1,171.4,84.4,56,28.74,2.005,0.25903,0.18285,0.19937,0.19801,0.32301,0.37195,0.59708,0.15543,0.13002,0.16201,0.04244,0.06998,100.3,95.1,98.8,45.2,42.7,29.0,56.4,17.9,24.5,76.9,104.3,65.0,171.4
1,176.3,83.7,59,26.91,2.024,0.26636,0.1811,0.19483,0.19646,0.3333,0.3838,0.61611,0.15393,0.12706,0.16074,0.0409,0.07189,100.4,93.9,99.0,47.0,44.3,28.0,58.8,18.7,23.9,80.2,108.7,67.7,176.3
1,166.9,74.2,65,26.66,1.855,0.27513,0.18342,0.19699,0.19867,0.34622,0.39868,0.63998,0.15591,0.12847,0.16255,0.04112,0.07414,94.9,88.6,93.4,45.3,42.6,27.1,57.0,18.0,22.4,77.7,105.4,65.6,166.9
1,178.3,87.2,43,27.41,2.078,0.26757,0.19865,0.20329,0.21553,0.3339,0.38449,0.61721,0.16885,0.13258,0.17634,0.04521,0.07227,109.8,97.7,108.3,47.1,44.4,29.0,58.8,18.7,26.3,80.1,108.6,67.7,178.3
1,171.0,99.6,57,34.07,2.175,0.26189,0.19654,0.21772,0.21227,0.32112,0.36977,0.59358,0.16705,0.14199,0.17368,0.04782,0.07107,106.2,102.3,104.3,45.0,42.7,31.9,55.2,17.7,27.2,75.3,102.1,63.6,171.0
1,173.3,63.4,26,21.12,1.748,0.26041,0.18035,0.17495,0.19611,0.33269,0.3831,0.61497,0.1533,0.1141,0.16045,0.03647,0.06988,96.7,81.5,95.5,44.4,41.6,23.7,56.8,17.8,20.6,77.4,104.9,65.4,173.3
1,171.0,78.6,58,26.87,1.932,0.26343,0.19018,0.1999,0.20612,0.33058,0.38066,0.61107,0.16165,0.13037,0.16864,0.04246,0.07105,99.3,90.8,97.9,43.8,41.2,27.4,55.0,17.4,23.3,74.9,101.6,63.3,171.0
1,189.4,78.1,51,21.78,2.027,0.26132,0.18389,0.19891,0.20023,0.33088,0.38101,0.61162,0.15631,0.12972,0.16383,0.04293,0.0703,109.9,103.4,108.8,49.7,46.7,28.8,63.0,19.9,27.0,85.9,116.4,72.5,189.4
1,175.4,83.7,62,27.2,2.019,0.27227,0.19085,0.21139,0.20698,0.34052,0.39212,0.62945,0.16222,0.13786,0.16934,0.04569,0.0735,104.1,100.3,102.6,47.3,44.5,30.0,59.1,18.8,26.2,80.6,109.3,68.1,175.4
1,167.6,61.2,30,21.81,1.688,0.2489,0.17336,0.18397,0.18832,0.31803,0.36621,0.58787,0.14736,0.11998,0.15408,0.03854,0.06679,94.5,87.2,93.3,43.2,40.4,26.0,55.2,17.3,22.1,75.2,102.0,63.5,167.6
1,181.7,77.6,53,23.51,1.979,0.24811,0.18962,0.19134,0.20616,0.31328,0.36074,0.57909,0.16118,0.12479,0.16868,0.04249,0.0668,110.3,96.8,109.0,45.9,43.2,27.8,58.0,18.3,26.0,79.1,107.2,66.8,181.7
1,166.3,66.3,42,23.94,1.75,0.26559,0.19259,0.20146,0.20892,0.3372,0.38829,0.62331,0.1637,0.13138,0.17093,0.04427,0.0714,100.5,91.4,99.1,44.1,41.4,27.7,56.0,17.7,24.3,76.4,103.5,64.5,166.3
1,177.1,90.8,41,28.97,2.114,0.25234,0.18113,0.21465,0.19635,0.31347,0.36097,0.57944,0.15396,0.13999,0.16065,0.04542,0.06824,102.3,105.4,100.8,45.4,42.8,31.7,56.4,18.0,27.0,76.8,104.2,64.9,177.1
1,160.8,74.3,61,28.73,1.821,0.26276,0.19745,0.20309,0.21335,0.32958,0.37951,0.60922,0.16783,0.13245,0.17456,0.04384,0.07087,96.8,86.6,95.1,41.0,38.6,27.2,51.4,16.3,22.6,70.1,95.1,59.2,160.8
1,165.5,56.9,34,20.76,1.617,0.25857,0.1765,0.17596,0.19182,0.33177,0.38204,0.61328,0.15003,0.11476,0.15694,0.0362,0.0693,91.0,78.9,89.9,42.4,39.7,23.6,54.4,17.1,19.6,74.2,100.6,62.7,165.5
1,177.0,79.0,19,25.24,1.971,0.26747,0.18888,0.19456,0.20507,0.33647,0.38745,0.62195,0.16055,0.12688,0.16779,0.04179,0.07209,103.5,92.7,102.2,46.7,43.9,27.3,58.7,18.6,24.1,80.0,108.5,67.6,177.0
1,181.0,73.7,30,22.5,1.926,0.26245,0.18573,0.21172,0.20199,0.33264,0.38304,0.61488,0.15787,0.13808,0.16527,0.04571,0.07059,105.7,104.8,104.5,47.5,44.6,30.0,60.2,19.0,27.4,82.2,111.4,69.4,181.0
1,176.8,64.8,48,20.72,1.783,0.25409,0.17689,0.16944,0.19244,0.3246,0.37379,0.60003,0.15035,0.11051,0.15745,0.0357,0.06819,99.7,83.1,98.6,45.6,42.7,23.8,58.3,18.3,21.2,79.4,107.7,67.1,176.8
1,174.6,73.9,46,24.23,1.893,0.26824,0.18549,0.18602,0.20141,0.33896,0.39032,0.62656,0.15767,0.12132,0.16479,0.04012,0.07221,102.6,89.4,101.2,47.2,44.4,26.4,59.7,18.8,23.3,81.4,110.3,68.7,174.6
1,173.2,71.7,67,23.9,1.858,0.26204,0.18939,0.17998,0.20564,0.33169,0.38195,0.61313,0.16098,0.11738,0.16825,0.03909,0.0705,102.7,84.9,101.4,45.2,42.5,25.1,57.2,18.1,22.3,78.1,105.8,65.9,173.2
1,164.4,97.4,45,36.02,2.109,0.27255,0.20077,0.21414,0.21623,0.33361,0.38415,0.61667,0.17065,0.13965,0.17691,0.04741,0.074,104.7,97.1,102.5,45.2,42.9,31.0,55.4,17.8,26.0,75.5,102.4,63.8,164.4
1,170.1,77.3,44,26.71,1.911,0.26954,0.18675,0.18816,0.20239,0.33857,0.38987,0.62584,0.15874,0.12271,0.16559,0.03996,0.07267,98.8,86.6,97.3,45.4,42.7,26.2,57.0,18.1,22.3,77.8,105.4,65.7,170.1
1,172.0,60.3,32,20.36,1.697,0.25353,0.17798,0.18294,0.19358,0.3249,0.37412,0.60057,0.15128,0.11931,0.15838,0.03793,0.06798,95.2,85.1,94.1,43.2,40.4,24.8,55.3,17.3,21.4,75.4,102.2,63.7,172.0
1,183.4,77.4,48,23.0,1.985,0.26022,0.17726,0.17528,0.1928,0.3289,0.37874,0.60797,0.15067,0.11431,0.15775,0.03653,0.07004,102.1,87.8,101.0,47.7,44.8,25.1,60.3,19.1,22.2,82.3,111.5,69.5,183.4
1,178.1,92.5,57,29.17,2.139,0.26968,0.1836,0.20242,0.19905,0.33459,0.38529,0.61849,0.15606,0.13201,0.16286,0.04365,0.07296,105.6,101.2,104.1,49.4,46.6,30.3,61.3,19.5,26.4,83.5,113.2,70.5,178.1
1,162.3,90.2,32,34.24,2.016,0.2719,0.21493,0.22661,0.23155,0.33507,0.38584,0.61938,0.18269,0.14779,0.18945,0.05152,0.07369,106.8,97.9,104.6,43.0,40.7,31.3,53.0,17.0,27.0,72.3,98.0,61.0,162.3
1,177.9,62.5,50,19.73,1.757,0.25327,0.17459,0.17815,0.19005,0.32451,0.37368,0.59985,0.1484,0.11619,0.15549,0.03689,0.06791,97.9,86.9,96.9,45.2,42.3,24.7,57.9,18.2,21.8,79.0,107.1,66.7,177.9
1,172.6,56.2,37,18.88,1.642,0.26762,0.17797,0.18482,0.19374,0.34458,0.39679,0.63696,0.15128,0.12054,0.15852,0.03756,0.07166,92.7,83.7,91.8,44.4,41.5,24.1,57.2,17.9,20.6,77.9,105.7,65.8,172.6
1,170.4,96.2,59,33.14,2.135,0.26832,0.20194,0.2109,0.21817,0.33011,0.38012,0.6102,0.17165,0.13754,0.1785,0.04677,0.07276,107.1,97.2,105.2,45.3,42.9,30.3,55.7,17.8,26.1,76.0,103.0,64.2,170.4
1,180.1,86.1,29,26.53,2.075,0.25889,0.18888,0.19833,0.20506,0.32374,0.37279,0.59843,0.16055,0.12935,0.16778,0.04312,0.06989,107.2,97.9,105.8,46.8,44.1,28.8,58.5,18.6,25.8,79.8,108.1,67.3,180.1
1,183.2,73.8,54,21.97,1.938,0.25935,0.18378,0.18867,0.19997,0.32901,0.37885,0.60816,0.15622,0.12304,0.16361,0.04025,0.06973,105.1,93.8,103.9,47.2,44.3,26.6,59.9,18.9,24.2,81.7,110.7,69.0,183.2
1,182.5,90.3,26,27.12,2.14,0.26408,0.19349,0.19931,0.21011,0.32917,0.37904,0.60846,0.16447,0.12998,0.17191,0.04501,0.07135,114.4,102.5,112.9,49.7,46.9,30.0,61.9,19.7,28.0,84.5,114.5,71.3,182.5
1,169.2,48.7,40,17.0,1.513,0.25759,0.17973,0.18509,0.19584,0.33416,0.38479,0.6177,0.15277,0.12071,0.16023,0.03877,0.06883,94.1,84.3,93.2,42.9,40.0,24.3,55.7,17.4,21.4,75.9,102.9,64.1,169.2
1,173.2,75.1,25,25.04,1.901,0.26454,0.19073,0.19351,0.20698,0.3336,0.38415,0.61666,0.16212,0.12621,0.16935,0.04109,0.07125,99.9,88.2,98.6,44.1,41.5,26.2,55.6,17.6,22.7,75.9,102.8,64.1,173.2
1,178.0,83.3,49,26.29,2.029,0.24743,0.18108,0.18799,0.19655,0.30999,0.35696,0.57302,0.15392,0.1226,0.16081,0.04045,0.06676,104.5,94.4,103.1,45.5,42.8,27.9,57.0,18.1,24.6,77.7,105.3,65.6,178.0
1,182.8,96.1,65,28.75,2.209,0.27683,0.19027,0.20967,0.20651,0.34308,0.39506,0.63418,0.16173,0.13674,0.16896,0.04576,0.07492,109.8,105.2,108.3,50.8,48.0,31.1,63.0,20.1,27.8,85.9,116.4,72.5,182.8
1,171.9,63.5,31,21.5,1.742,0.25692,0.18562,0.17359,0.20176,0.32801,0.3777,0.60632,0.15777,0.11321,0.16508,0.03745,0.06896,100.4,81.6,99.2,44.2,41.4,23.9,56.5,17.7,21.3,77.0,104.4,65.0,171.9
1,174.1,76.9,44,25.35,1.928,0.26782,0.18796,0.1806,0.20397,0.33724,0.38833,0.62338,0.15976,0.11778,0.16688,0.03863,0.07216,101.5,84.8,100.1,46.0,43.3,25.2,58.0,18.3,22.0,79.0,107.1,66.7,174.1
1,167.2,60.9,42,21.78,1.682,0.26226,0.17652,0.19158,0.19175,0.33517,0.38596,0.61956,0.15004,0.12494,0.15689,0.03869,0.07037,89.9,84.8,88.8,42.5,39.8,25.3,54.3,17.1,20.7,74.1,100.4,62.6,167.2
1,166.5,72.1,30,26.01,1.826,0.26485,0.18767,0.1983,0.20334,0.33403,0.38464,0.61744,0.15952,0.12933,0.16637,0.04239,0.07133,97.6,89.7,96.2,43.9,41.2,27.4,55.3,17.5,23.2,75.4,102.2,63.7,166.5
1,181.6,72.2,38,21.88,1.908,0.27605,0.18041,0.18759,0.19627,0.35054,0.40366,0.64797,0.15335,0.12234,0.16058,0.03872,0.0742,99.7,90.2,98.6,48.6,45.6,25.7,61.7,19.4,22.5,84.1,114.0,71.0,181.6
1,185.7,81.2,62,23.54,2.046,0.2591,0.19919,0.18787,0.21667,0.32653,0.376,0.60358,0.16931,0.12252,0.17728,0.04265,0.0698,115.9,95.0,114.6,48.0,45.1,27.1,60.5,19.1,26.1,82.5,111.8,69.6,185.7
1,175.0,66.0,48,21.56,1.791,0.263,0.17765,0.18067,0.19315,0.33528,0.38608,0.61976,0.151,0.11783,0.15804,0.03748,0.07062,97.0,85.8,95.9,45.7,42.8,24.9,58.3,18.3,21.5,79.5,107.7,67.1,175.0
1,183.0,92.4,54,27.6,2.168,0.25907,0.19229,0.19463,0.20879,0.3223,0.37113,0.59577,0.16344,0.12693,0.17083,0.0426,0.07003,110.0,96.8,108.6,47.2,44.5,28.4,58.7,18.7,25.7,80.0,108.5,67.6,183.0
1,178.2,90.4,65,28.47,2.116,0.28116,0.19774,0.21091,0.21445,0.34964,0.40261,0.6463,0.16808,0.13755,0.17546,0.04647,0.07601,108.7,100.8,107.2,49.2,46.4,30.1,61.2,19.5,26.9,83.4,113.1,70.5,178.2
1,170.7,70.4,60,24.16,1.827,0.26036,0.18213,0.17997,0.19766,0.32967,0.37962,0.60939,0.15481,0.11737,0.16173,0.03818,0.07004,98.3,84.4,97.0,44.7,42.0,25.2,56.6,17.9,21.7,77.2,104.7,65.2,170.7
1,178.2,79.9,22,25.17,1.989,0.26346,0.18835,0.19429,0.20454,0.33129,0.38149,0.61239,0.1601,0.12671,0.16735,0.04175,0.07101,104.2,93.4,102.8,46.4,43.6,27.4,58.3,18.5,24.3,79.5,107.8,67.2,178.2
1,187.0,70.5,30,20.14,1.913,0.25254,0.18027,0.17425,0.19635,0.32198,0.37076,0.59517,0.15323,0.11364,0.16065,0.03749,0.06781,107.9,90.7,106.9,48.1,45.1,25.1,61.4,19.3,23.6,83.7,113.4,70.6,187.0
1,175.2,73.5,45,23.93,1.891,0.2572,0.19297,0.17867,0.20959,0.32524,0.37452,0.6012,0.16403,0.11652,0.17148,0.03963,0.06922,106.7,85.9,105.3,45.3,42.5,25.2,57.2,18.1,23.1,78.0,105.8,65.9,175.2
1,187.2,87.1,60,24.84,2.128,0.25835,0.19126,0.20004,0.208,0.32385,0.37292,0.59863,0.16257,0.13046,0.17018,0.04437,0.0697,113.6,103.3,112.3,48.8,46.0,29.5,61.2,19.4,27.7,83.5,113.2,70.5,187.2
1,155.9,90.1,42,37.08,1.975,0.25607,0.20962,0.21107,0.22499,0.31426,0.36188,0.58091,0.17817,0.13766,0.18409,0.04732,0.06948,102.5,89.7,100.0,39.9,37.7,29.5,48.9,15.7,24.4,66.7,90.4,56.3,155.9
1,181.7,69.9,68,21.18,1.878,0.25751,0.17562,0.18608,0.19112,0.32779,0.37746,0.60592,0.14928,0.12135,0.15637,0.03871,0.06917,100.7,92.8,99.6,47.0,44.1,26.3,59.8,18.8,23.4,81.6,110.6,68.9,181.7
1,176.2,96.7,52,31.18,2.176,0.27124,0.20161,0.19802,0.21831,0.33467,0.38537,0.61862,0.17137,0.12914,0.17861,0.04399,0.07349,109.7,93.7,108.0,47.0,44.4,28.5,58.0,18.5,25.2,79.0,107.2,66.8,176.2
1,173.3,87.2,64,29.06,2.049,0.26424,0.19098,0.19316,0.20686,0.32883,0.37866,0.60784,0.16233,0.12598,0.16925,0.04229,0.07143,105.3,92.6,103.7,46.4,43.8,28.1,57.7,18.4,24.6,78.7,106.7,66.5,173.3
1,176.2,81.0,56,26.1,1.991,0.25349,0.18578,0.19636,0.20161,0.31807,0.36626,0.58794,0.15792,0.12806,0.16495,0.04286,0.06837,105.6,97.0,104.2,45.9,43.2,28.8,57.5,18.2,25.6,78.5,106.4,66.3,176.2
1,160.6,84.0,24,32.58,1.936,0.25672,0.19909,0.2233,0.2146,0.3183,0.36652,0.58837,0.16922,0.14563,0.17558,0.04981,0.06947,102.5,100.0,100.5,42.1,39.7,31.9,52.2,16.6,27.0,71.2,96.5,60.1,160.6
1,173.9,80.0,55,26.46,1.965,0.26689,0.19042,0.18318,0.20652,0.33487,0.38561,0.619,0.16185,0.11947,0.16897,0.03942,0.07198,102.5,85.7,101.0,45.7,43.0,25.6,57.4,18.2,22.3,78.2,106.0,66.1,173.9
1,178.2,84.2,49,26.53,2.042,0.25143,0.18472,0.19267,0.20048,0.31471,0.3624,0.58174,0.15701,0.12565,0.16403,0.04152,0.06786,104.9,95.2,103.5,45.5,42.8,28.1,56.9,18.1,24.8,77.6,105.2,65.5,178.2
1,186.6,86.4,20,24.83,2.117,0.26549,0.19279,0.19941,0.20965,0.33292,0.38336,0.6154,0.16387,0.13005,0.17153,0.04398,0.07162,112.3,101.0,111.1,49.2,46.4,28.9,61.7,19.6,27.0,84.2,114.1,71.1,186.6
1,171.6,88.6,62,30.07,2.055,0.25477,0.18265,0.19772,0.19767,0.31631,0.36423,0.58469,0.15525,0.12895,0.16173,0.04154,0.06891,98.9,93.1,97.3,43.9,41.5,28.5,54.5,17.4,23.7,74.4,100.8,62.8,171.6
1,169.4,84.7,56,29.5,1.997,0.27428,0.19352,0.21126,0.2094,0.34157,0.39332,0.63138,0.16449,0.13778,0.17133,0.04569,0.07413,101.8,96.6,100.1,45.9,43.3,29.7,57.2,18.2,25.3,78.0,105.7,65.8,169.4
1,171.7,67.2,54,22.79,1.791,0.26221,0.18167,0.1801,0.19733,0.33336,0.38387,0.61621,0.15442,0.11746,0.16146,0.03817,0.07046,98.4,84.8,97.1,45.2,42.4,25.0,57.4,18.1,21.8,78.3,106.2,66.2,171.7
1,182.4,68.3,67,20.53,1.86,0.26446,0.18359,0.19303,0.19985,0.33732,0.38843,0.62353,0.15605,0.12589,0.16352,0.04017,0.071,101.0,92.3,99.9,46.3,43.4,26.0,59.1,18.6,23.3,80.5,109.2,68.0,182.4
1,178.0,76.9,39,24.28,1.95,0.27261,0.19768,0.19324,0.21475,0.34388,0.39599,0.63566,0.16803,0.12603,0.1757,0.04261,0.07342,107.5,91.3,106.1,47.2,44.3,26.7,59.5,18.8,24.4,81.1,110.0,68.5,178.0
1,171.5,65.3,25,22.2,1.764,0.25839,0.1755,0.19399,0.19068,0.32917,0.37905,0.60847,0.14917,0.12652,0.15601,0.04013,0.0694,95.0,91.3,93.9,44.5,41.7,26.9,56.7,17.8,22.9,77.4,104.9,65.3,171.5
1,179.3,79.7,34,24.79,1.993,0.2552,0.18529,0.18686,0.20128,0.32115,0.36981,0.59364,0.1575,0.12187,0.16469,0.04027,0.06877,105.1,92.2,103.8,46.1,43.3,26.9,58.0,18.4,24.0,79.1,107.2,66.8,179.3
1,176.2,93.6,69,30.13,2.14,0.26778,0.20577,0.21146,0.22291,0.33153,0.38176,0.61282,0.1749,0.13791,0.18238,0.04679,0.07249,108.8,97.2,107.2,45.1,42.6,29.4,55.8,17.8,26.0,76.1,103.1,64.3,176.2
1,182.8,78.1,44,23.37,1.991,0.25875,0.19013,0.19484,0.20675,0.32671,0.37622,0.60393,0.16161,0.12707,0.16916,0.04329,0.06967,111.0,98.9,109.7,48.1,45.2,28.3,60.7,19.2,26.6,82.8,112.2,69.9,182.8
1,170.2,72.1,50,24.87,1.846,0.25681,0.18565,0.18356,0.20139,0.32449,0.37365,0.59981,0.1578,0.11971,0.16478,0.03928,0.06913,99.4,85.4,98.0,43.8,41.1,25.6,55.3,17.5,22.1,75.4,102.2,63.7,170.2
1,173.0,75.6,63,25.25,1.906,0.26767,0.19222,0.19364,0.20857,0.33734,0.38845,0.62357,0.16339,0.12629,0.17065,0.04251,0.0721,104.5,91.5,103.0,46.3,43.5,27.3,58.4,18.5,24.3,79.6,107.9,67.2,173.0
1,172.6,84.6,34,28.42,2.014,0.26459,0.19556,0.18553,0.21186,0.33008,0.38009,0.61015,0.16623,0.12099,0.17334,0.04097,0.07147,106.0,87.5,104.4,45.7,43.1,26.5,57.0,18.1,23.4,77.7,105.3,65.6,172.6
1,164.5,48.4,59,17.87,1.487,0.24458,0.17085,0.16283,0.18602,0.3169,0.36491,0.58578,0.14522,0.10619,0.1522,0.03377,0.06537,90.7,75.1,89.7,41.3,38.5,22.2,53.5,16.7,18.9,73.0,99.0,61.6,164.5
1,177.7,72.2,29,22.85,1.888,0.27167,0.17941,0.1929,0.19502,0.34441,0.3966,0.63664,0.1525,0.12581,0.15956,0.04026,0.07306,99.4,93.0,98.3,47.9,45.0,27.0,60.8,19.2,23.5,82.9,112.3,70.0,177.7
1,177.5,81.4,65,25.83,2.003,0.26208,0.17783,0.18487,0.19304,0.32895,0.37879,0.60805,0.15115,0.12057,0.15794,0.03878,0.07068,100.6,90.9,99.3,47.2,44.4,26.8,59.2,18.8,23.1,80.8,109.5,68.2,177.5
1,175.5,92.3,63,29.96,2.122,0.25215,0.19925,0.20416,0.21583,0.31246,0.35981,0.57759,0.16936,0.13315,0.17659,0.04493,0.06824,107.6,95.8,105.9,43.3,40.9,29.0,53.7,17.1,25.5,73.2,99.3,61.8,175.5
1,173.7,70.2,44,23.25,1.84,0.25204,0.1771,0.18819,0.19237,0.31965,0.36809,0.59087,0.15053,0.12273,0.1574,0.03968,0.06777,98.8,91.3,97.6,44.8,42.0,26.9,56.8,17.9,23.3,77.4,105.0,65.4,173.7
1,164.9,51.4,65,18.89,1.534,0.24872,0.18132,0.17318,0.19729,0.32115,0.36981,0.59364,0.15413,0.11295,0.16142,0.03677,0.06654,93.8,77.9,92.8,41.0,38.3,23.1,52.9,16.5,20.0,72.1,97.8,60.9,164.9
1,172.3,81.6,25,27.47,1.976,0.25083,0.18787,0.19763,0.20361,0.31393,0.36149,0.58029,0.15969,0.12889,0.16659,0.04352,0.0677,105.2,96.2,103.7,44.7,42.1,29.1,56.0,17.8,25.7,76.3,103.4,64.4,172.3
